a,неопределенныйартикль
foreigner,иностранец
foreman,мастер/старшийрабочий/техник/прораб
foremost,передовойf-
forepaws,Передниелапы
foresight,предвидение/предусмотрительность
forest,лес
forester,Лесник
forests,Леса
forever,вечно!
foreword,предисловие
forge,выдумывать
forgery,подделка/подлог
forget,забыть
forgetful,забывчивый
forgive,прощать
forgot,забыл(отforget)
forgotten,забытый(отforget)
fork,вилка
form,бланк/форма/формировать
formal,официальный/формальный
formally,формально
formation,образование/структура/формирование
formed,сформировавшийся/организованный
former,бывший
formerly,прежде/некогда
formidable,внушительный(неtremendous)
forming,Формирование
forms,формы(отform)
formula,формула
fort,Форт
forth,вперед/впредь/далее(f-)
forthwith,тотчас/немедленноf-
fortitude,стойкость/мужество
fortnight,двенедели
fortress,крепость
fortunate,счастливый
fortunately,ксчастью
fortune,удача/счастье
fortunes,Благосостояния(неwelfares)
forty,сорок
forward,передовой/вперед/впредь
fossil,ископаемое
foster,воспитывать
fought,сражался!
foul,загрязненный/грязный/бесчестный
found,нашел/найденный(отfind)
foundation,основание
fountain,источник/фонтан
four,четыре
fourteen,четырнадцать
